"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"42.28571",821.997152894439,505.096439509616,1138.89786627926,337.339335286173,1306.65497050271
"42.42857",738.652083725506,376.685843866889,1100.61832358412,185.072490975529,1292.23167647548
"42.57143",705.089743621373,296.188557586355,1113.99092965639,79.7293450144101,1330.45014222834
"42.71429",695.555677637761,235.535506512279,1155.57584876324,-7.98446214955095,1399.09581742507
"42.85714",675.184914296668,177.343597984729,1173.02623060861,-86.1976755429879,1436.56750413632
"43.00000",670.67281287537,127.734120159971,1213.61150559077,-159.680262369971,1501.02588812071
"43.14286",1010.20465342077,122.16876685566,1898.24053998588,-347.929035025134,2368.33834186667
"43.28571",822.002744005166,43.8389841239068,1600.16650388643,-368.096027239683,2012.10151525001
"43.42857",738.657107934621,-9.49712007262667,1486.81133594187,-405.546044868239,1882.86026073748
"43.57143",705.094539544102,-55.0372253397849,1465.22630442799,-457.426675155657,1867.61575424386
"43.71429",695.560408711094,-99.1754192232401,1490.29623664543,-519.8831534939,1911.00397091609
"43.85714",675.189506810892,-139.557263779659,1489.93627740144,-570.858151208392,1921.23716483017
"44.00000",670.677374698906,-181.483177992734,1522.83792739055,-632.589725296092,1973.9444746939
"44.14286",1010.21152469283,-337.886033125685,2358.30908251135,-1051.525772509,3071.94882189466
"44.28571",822.008335153922,-327.555776299396,1971.57244660724,-936.098257623581,2580.11492793143
"44.42857",738.662132177911,-341.803300834414,1819.12756519024,-913.767151340398,2391.09141569622
"44.57143",705.099335499453,-371.838057233687,1782.03672823259,-941.934276030994,2352.1329470299
"44.71429",695.565139816608,-412.091435578382,1803.2217152116,-998.449407378449,2389.57968701166
"44.85714",675.194099356353,-444.364689051298,1794.752887764,-1037.02331182665,2387.41151053935
"45.00000",670.68193655347,-485.884607094114,1827.24848020105,-1098.13395210719,2439.49782521413
"45.14286",1010.21839601163,-799.630075092772,2820.06686711604,-1757.70598269419,3778.14277471746
"45.28571",822.013926340709,-706.485987687324,2350.51384036874,-1515.62496577397,3159.65281845539
"45.42857",738.667156455374,-685.66779233818,2163.00210524893,-1439.66516868267,2916.99948159342
"45.57143",705.104131487424,-703.697978957311,2113.90624193216,-1449.47276736902,2859.68103034386
"45.71429",695.569870954301,-743.419264575446,2134.55900648405,-1505.17409878538,2896.31384069399
"45.85714",675.198691933053,-770.180561049839,2120.57794491594,-1535.31811910453,2885.71550297064
"46.00000",670.686498439063,-814.019788136675,2155.3927850148,-1599.97582022624,2941.34881710437
"46.14286",1010.22526737717,-1301.13969831512,3321.59023306947,-2524.70240130344,4545.15293605778
"46.28571",822.019517565526,-1120.84628014102,2764.88531527207,-2149.33730698901,3793.37634212007
"46.42857",738.672180767012,-1063.98866520399,2541.33302673801,-2018.25967389639,3495.60403543042
