"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"42.71429",17.8995620967608,-10.0105775882677,45.8097017817892,-24.785313063055,60.5844372565766
"42.85714",-0.490574803307155,-28.4165877780995,27.4354381714852,-43.1997260649123,42.218576458298
"43.00000",90.8619376291839,62.9359872774362,118.787887980932,48.1528821412608,133.570993117107
"43.14286",53.8447882491197,25.9188378973721,81.7707386008673,11.1357327611967,96.5538437370427
"43.28571",40.2418908803426,12.315940528595,68.1678412320902,-2.46716460758041,82.9509463682655
"43.42857",65.361928664844,37.4359783130964,93.2878790165916,22.652873176921,108.070984152767
"43.57143",70.4292164787435,42.5032661269959,98.3551668304911,27.7201609908205,113.138271966666
"43.71429",17.6283849006983,-10.4505079055602,45.7072777069568,-25.314575886557,60.5713456879537
"43.85714",-1.15805191337829,-29.2371181900091,26.9210143632526,-44.1012780006741,41.7851741739175
"44.00000",90.1944605191127,62.1154565241803,118.273464514045,47.2513296834549,133.137591354771
"44.14286",53.1773111390485,25.0983071441162,81.2563151339809,10.2341803033908,96.1204419747062
"44.28571",39.5744137702714,11.495409775339,67.6534177652038,-3.36871706538628,82.5175446059291
"44.42857",64.6944515547729,36.6154475598405,92.7734555497053,21.7513207191152,107.637582390431
"44.57143",69.7617393686724,41.68273537374,97.8407433636048,26.8186085330147,112.70487020433
"44.71429",16.9609077906272,-11.2702095008389,45.1920250820933,-26.2148602566662,60.1366758379206
"44.85714",-1.82552902344943,-30.0568188499272,26.4057608030283,-45.0015609402726,41.3505028933737
"45.00000",89.5269834090416,61.2957555284377,117.758211289646,46.351046230257,132.702920587826
"45.14286",52.5098340289774,24.2786061483735,80.7410619095813,9.33389685019288,95.6857712077619
"45.28571",38.9069366602003,10.6757087795964,67.1381645408042,-4.26900051858423,82.0828738389848
"45.42857",64.0269744447017,35.7957465640978,92.2582023253056,20.8510372659172,107.202911623486
"45.57143",69.0942622586012,40.8630343779974,97.3254901392051,25.9183250798167,112.270199437386
"45.71429",16.293430680556,-12.0890946796664,44.6759560407785,-27.1138960255614,59.7007573866735
"45.85714",-2.49300613352057,-30.8757031083632,25.8896908413221,-45.9005953015504,40.9145830345093
"46.00000",88.8595062989705,60.4768709395514,117.24214165839,45.4520113635991,132.267001234342
"46.14286",51.8423569189063,23.4597215594872,80.2249922783253,8.43486198353504,95.2498518542775
"46.28571",38.2394595501292,9.85682419071014,66.6220949095482,-5.16803538524206,81.6469544855004
"46.42857",63.3594973346306,34.9768619752116,91.7421326940496,19.9520023992594,106.766992270002
"46.57143",68.4267851485301,40.0441497891111,96.8094205079491,25.0192902131589,111.834280083901
"46.71429",15.6259535704849,-12.9071764387312,44.159083579701,-28.011703069962,59.2636102109319
"46.85714",-3.16048324359171,-31.6937839616106,25.3728174744272,-46.798400960623,40.4774344734396
